brand,model_name,ram_gb,storage_gb,variant_name,platform,search_url,store_name,external_id,sku_text,product_title,product_url,region,regular_price,public_sale_price,gov_price,billion_subsidy_price,promotion_labels,promotion_stackable,in_stock,evidence_text_path,screenshot_path,reviewer,review_status
OPPO,OPPO Find X9 Ultra,16,512,16GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=OPPO%20OPPO%20Find%20X9%20Ultra%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9 Ultra,16,1024,16GB+1TB,jd,https://search.jd.com/Search?keyword=OPPO%20OPPO%20Find%20X9%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9 Ultra,16,1024,16GB+1TB,tmall,https://list.tmall.com/search_product.htm?q=OPPO%20OPPO%20Find%20X9%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9 Ultra,16,1024,16GB+1TB,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=OPPO%20OPPO%20Find%20X9%20Ultra%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9s Pro,12,256,12GB+256,jd,https://search.jd.com/Search?keyword=OPPO%20OPPO%20Find%20X9s%20Pro%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9s Pro,12,256,12GB+256,tmall,https://list.tmall.com/search_product.htm?q=OPPO%20OPPO%20Find%20X9s%20Pro%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9s Pro,12,256,12GB+256,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=OPPO%20OPPO%20Find%20X9s%20Pro%2012GB%2B256%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+256,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9s Pro,12,512,12GB+512,jd,https://search.jd.com/Search?keyword=OPPO%20OPPO%20Find%20X9s%20Pro%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9s Pro,12,512,12GB+512,tmall,https://list.tmall.com/search_product.htm?q=OPPO%20OPPO%20Find%20X9s%20Pro%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9s Pro,12,512,12GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=OPPO%20OPPO%20Find%20X9s%20Pro%2012GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,12GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9s Pro,16,512,16GB+512,jd,https://search.jd.com/Search?keyword=OPPO%20OPPO%20Find%20X9s%20Pro%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9s Pro,16,512,16GB+512,tmall,https://list.tmall.com/search_product.htm?q=OPPO%20OPPO%20Find%20X9s%20Pro%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9s Pro,16,512,16GB+512,pdd,https://mobile.yangkeduo.com/search_result.html?search_key=OPPO%20OPPO%20Find%20X9s%20Pro%2016GB%2B512%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+512,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9s Pro,16,1024,16GB+1TB,jd,https://search.jd.com/Search?keyword=OPPO%20OPPO%20Find%20X9s%20Pro%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
OPPO,OPPO Find X9s Pro,16,1024,16GB+1TB,tmall,https://list.tmall.com/search_product.htm?q=OPPO%20OPPO%20Find%20X9s%20Pro%2016GB%2B1TB%20%E5%AE%98%E6%96%B9%E6%97%97%E8%88%B0%E5%BA%97,,,16GB+1TB,,,中国大陆,,,,,,unknown,true,,,,pending
